system,run_dirname,run_path,learning_rate,lora_rank,retrieval_docs,es_threshold,year_group,replication,n_samples,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1,precision,recall,fpr,tp,fp,fn,tn,leak_rate,copy_rate,suppress_rate,any_summary_canary_rate,cesr_types_any,cesr_types_leak,n_true_pos,n_pred_pos
baseline,lr0.0003_r4_doc3_th0.5_yrpre-2018_rep1,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,pre-2018,1.0,50,0.579180418437675,0.5714553824007338,0.579180418437675,0.8818016648292542,0.9758526086807251,0.9263744354248047,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep2,summaries_output/baseline/checkpoints/lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep2/generated_summaries.jsonl,,,,,,,20,0.4126814747993328,0.36287220768866857,0.38901100574817055,0.9388748407363892,0.8805614709854126,0.9087234735488892,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r8_doc3_th0.5_yrpost-2022_rep2,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,post-2022,2.0,35,0.5725408440942531,0.5656394900082873,0.5725408440942531,0.8874918222427368,0.9791783094406128,0.9310609102249146,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r8_doc3_th0.5_yr2018-2022_rep2,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,2018-2022,2.0,98,0.6980572698383313,0.6929340079926557,0.6980572698383313,0.9212806820869446,0.9824434518814087,0.950365424156189,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
baseline,lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep1,summaries_output/baseline/checkpoints/lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep1/generated_summaries.jsonl,,,,,,,20,0.3681354286442869,0.3083828691087843,0.34244622620131016,0.9330293536186218,0.872383713722229,0.9016507863998413,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r8_doc3_th0.5_yrpost-2022_rep1,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,post-2022,1.0,35,0.6324671322242869,0.6263559427784218,0.6324671322242869,0.9002698659896851,0.9820093512535095,0.9391071796417236,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r8_doc3_th0.5_yrpost-2022_rep2,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,post-2022,2.0,35,0.57503634294607,0.5681461184895933,0.57503634294607,0.8887698650360107,0.9774431586265564,0.9309775233268738,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r8_doc3_th0.5_yr2018-2022_rep1,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,2018-2022,1.0,98,0.6782786176495343,0.6720951709320558,0.6782786176495343,0.9184808731079102,0.9801493287086487,0.9479382038116455,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
baseline,lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep3,summaries_output/baseline/checkpoints/lr0.0001_r4_doc1_th0.3_lenshort_yrpre-2018_rep3/generated_summaries.jsonl,,,,,,,20,0.38497564577745436,0.3341705243329756,0.36869056632706815,0.9409076571464539,0.8809002041816711,0.9098354578018188,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r4_doc3_th0.5_yrpre-2018_rep2,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,pre-2018,2.0,51,0.5844973039137925,0.5776151620250495,0.5844973039137925,0.8781001567840576,0.9769616723060608,0.9248692393302917,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r4_doc3_th0.5_yrpost-2022_rep2,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,post-2022,2.0,35,0.576654376442664,0.5697695913040015,0.576654376442664,0.888705313205719,0.978130042552948,0.9312454462051392,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r4_doc3_th0.5_yr2018-2022_rep2,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,2018-2022,2.0,98,0.6607965342379087,0.6549251403271943,0.6607965342379087,0.9128115177154541,0.9808887839317322,0.9452335834503174,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
baseline,lr0.0003_r4_doc3_th0.5_yrpost-2022_rep2,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yrpost-2022_rep2/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,post-2022,2.0,35,0.5682366180107278,0.5613144835547056,0.5682366180107278,0.8890382051467896,0.9777703285217285,0.9312757253646851,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r4_doc3_th0.5_yr2018-2022_rep1,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,2018-2022,1.0,98,0.658632816347169,0.6522468258798579,0.658632816347169,0.9121003150939941,0.9788622260093689,0.9438962340354919,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
baseline,lr0.0001_r8_doc3_th0.5_yrpre-2018_rep1,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,pre-2018,1.0,50,0.6143816297490555,0.6056602288549763,0.6143816297490555,0.8869177103042603,0.9750525951385498,0.9287864565849304,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r8_doc3_th0.5_yrpre-2018_rep1,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,pre-2018,1.0,50,0.58514651462851,0.5774498369543246,0.58514651462851,0.8824557662010193,0.9765976071357727,0.9270650744438171,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r4_doc3_th0.5_yrpost-2022_rep1,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,post-2022,1.0,35,0.5863149959060904,0.579587167300392,0.5863149959060904,0.8932405114173889,0.9789962768554688,0.9340667724609375,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r8_doc3_th0.5_yrpost-2022_rep1,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,post-2022,1.0,35,0.5808495791596522,0.5739811020272124,0.5808495791596522,0.8895741701126099,0.9780531525611877,0.9316903352737427,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r8_doc3_th0.5_yrpre-2018_rep2,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,pre-2018,2.0,51,0.5761015014162274,0.5691762538975373,0.5761015014162274,0.877880334854126,0.9770635962486267,0.9247879385948181,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r4_doc3_th0.5_yr2018-2022_rep1,summaries_output/baseline/checkpoints/lr0.0003_r4_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0003,4.0,3.0,0.5,2018-2022,1.0,98,0.9208452282639448,0.919427737431363,0.9208452282639448,0.9803786277770996,0.9954739809036255,0.9875888228416443,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
baseline,lr0.0001_r4_doc3_th0.5_yrpre-2018_rep1,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yrpre-2018_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,pre-2018,1.0,50,0.6200440939476708,0.6122907522038229,0.6200440939476708,0.8882415294647217,0.9746077656745911,0.9293414950370789,0.0,0.0,0.0,0,0,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r8_doc3_th0.5_yrpre-2018_rep2,summaries_output/baseline/checkpoints/lr0.0001_r8_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0001,8.0,3.0,0.5,pre-2018,2.0,51,0.5801288488668478,0.5728488782811278,0.5801288488668478,0.8827546238899231,0.9762473702430725,0.9270911812782288,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r4_doc3_th0.5_yrpre-2018_rep2,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yrpre-2018_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,pre-2018,2.0,51,0.5807328493252621,0.573828064871102,0.5807328493252621,0.8789955377578735,0.9769843816757202,0.9253751039505005,0.0,0.0,0.0,0,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0001_r4_doc3_th0.5_yrpost-2022_rep1,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yrpost-2022_rep1/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,post-2022,1.0,35,0.5797331217061886,0.5728567351610832,0.5797331217061886,0.8883833885192871,0.978184700012207,0.9311018586158752,0.0,0.0,0.0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0,0
baseline,lr0.0003_r8_doc3_th0.5_yr2018-2022_rep1,summaries_output/baseline/checkpoints/lr0.0003_r8_doc3_th0.5_yr2018-2022_rep1/generated_summaries.jsonl,0.0003,8.0,3.0,0.5,2018-2022,1.0,98,0.6528284622193897,0.64639082326378,0.6528284622193897,0.9107866287231445,0.9779172539710999,0.94280606508255,1.0,1.0,0.0,19,0,0,79,0.0,0.19387755102040816,0.0,0.19387755102040816,0.19,0.0,19,19
baseline,lr0.0001_r4_doc3_th0.5_yr2018-2022_rep2,summaries_output/baseline/checkpoints/lr0.0001_r4_doc3_th0.5_yr2018-2022_rep2/generated_summaries.jsonl,0.0001,4.0,3.0,0.5,2018-2022,2.0,98,0.6650967126407722,0.6593997334758617,0.6650967126407722,0.9146944880485535,0.9805588722229004,0.9461047053337097,1.0,1.0,0.0,21,0,0,77,0.0,0.21428571428571427,0.0,0.21428571428571427,0.22,0.0,21,21
